Season,G,GS,ShO,SV,IPouts,H,ER,BB,SO,HLD,QS,PTS,AB,PA,1B,2B,3B,HR,R,RBI
2023,30,29,0,1,463,156,83,41,140,0,9,250.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,58,0,0,22,192,52,19,13,67,6,0,315.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,6,6,0,0,91,19,9,4,45,0,3,145.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,18,0,0,311,83,46,33,103,1,6,237,NA,NA,NA,NA,NA,NA,NA,NA
2023,11,11,1,0,201,40,17,15,74,0,7,289.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,8,8,0,0,134,36,13,11,47,0,3,144.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,70,3,0,0,268,94,43,27,77,13,0,163.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,70,0,0,10,194,56,27,21,82,21,0,293.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,68,1,0,7,202,53,9,12,48,19,0,299.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,63,9,0,1,331,99,42,40,106,15,2,294.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,61,0,0,2,154,45,16,12,58,21,0,240.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,49,0,0,25,136,26,13,20,68,2,0,314,NA,NA,NA,NA,NA,NA,NA,NA
2023,42,0,0,10,124,30,8,18,64,11,0,252,NA,NA,NA,NA,NA,NA,NA,NA
2023,57,0,0,10,182,44,19,13,67,19,0,309.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,57,2,0,0,208,65,26,25,55,7,0,137,NA,NA,NA,NA,NA,NA,NA,NA
2023,68,7,0,3,181,64,23,23,70,17,0,219.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,39,6,0,0,156,36,8,11,54,6,0,197.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,23,0,0,409,138,58,47,101,0,13,257.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,60,0,0,4,196,41,18,23,70,8,0,274,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,1,160,50,9,15,53,22,0,243.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,21,0,0,352,112,60,24,117,0,11,280,NA,NA,NA,NA,NA,NA,NA,NA
