,edge,grade,money,value,is_best,bet_quality,implied_value,projected_value,ou,book_name,display_name,full_name,prop
112,-0.057733818551437,F,-152,4.5,False,2.0,3.863603896932108,4.43,under,FanDuel NJ,Braves,Darius Vines,strikeouts
117,0.019776606681182,C-,130,4.5,True,7.0,4.075735931288072,4.43,over,PointsBet NJ,Braves,Darius Vines,strikeouts
116,-0.084188845006464,F,-170,4.5,False,0.0,3.651471862576144,4.43,under,PointsBet NJ,Braves,Darius Vines,strikeouts
119,0.023113840747299,C-,-165,3.5,True,6.0,4.248331477354788,4.43,over,bet365 NJ,Braves,Darius Vines,strikeouts
118,-0.071287265074878,F,135,3.5,False,2.0,3.874165738677394,4.43,under,bet365 NJ,Braves,Darius Vines,strikeouts
51,0.030411901596764,C,120,5.5,True,6.0,5.969041575982344,5.76,under,Best Odds,Marlins,Edward Cabrera,strikeouts
50,-0.091256568740643,F,-154,5.5,False,3.0,6.203562363973516,5.76,over,Best Odds,Marlins,Edward Cabrera,strikeouts
54,0.036947122223455,C,-155,6.5,True,5.0,5.735147072961083,5.76,under,BetMGM NJ,Marlins,Edward Cabrera,strikeouts
55,-0.109906538548124,F,115,6.5,False,3.0,6.245049024320361,5.76,over,BetMGM NJ,Marlins,Edward Cabrera,strikeouts
58,0.118723908767457,B,-111,6.5,True,7.0,6.245049024320361,5.76,under,Caesars NJ,Marlins,Edward Cabrera,strikeouts
59,-0.196359766204814,F,-123,6.5,False,1.0,7.009901951359278,5.76,over,Caesars NJ,Marlins,Edward Cabrera,strikeouts
52,0.030411901596764,C,120,5.5,True,6.0,5.969041575982344,5.76,under,FanDuel NJ,Marlins,Edward Cabrera,strikeouts
53,-0.091256568740643,F,-154,5.5,False,3.0,6.203562363973516,5.76,over,FanDuel NJ,Marlins,Edward Cabrera,strikeouts
56,0.044790259478357,C,-150,6.5,True,5.0,5.735147072961083,5.76,under,PointsBet NJ,Marlins,Edward Cabrera,strikeouts
57,-0.109906538548124,F,115,6.5,False,3.0,6.245049024320361,5.76,over,PointsBet NJ,Marlins,Edward Cabrera,strikeouts
